"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000280099",25.2370832427061,-8.54850765287497,0.95510878576556,5.18198484451565e-20,1.29739785694341e-18,"ENSG00000280099"
"ENSG00000162688",906.96294930668,0.607282576140916,0.10519558558434,4.28074490159186e-09,4.20083952928689e-08,"ENSG00000162688"
"ENSG00000197106",807.253866435496,10.4746862881483,1.77097942426112,1.24119942689086e-10,1.46115943513085e-09,"ENSG00000197106"
"ENSG00000259946",41.8981705795121,3.68228740464688,0.639124175277076,5.08079302011436e-10,5.62805629781597e-09,"ENSG00000259946"
"ENSG00000134242",5.91813807261848,-3.60561328083035,0.857498771189274,1.28772100382036e-06,8.98561060290177e-06,"ENSG00000134242"
"ENSG00000162627",965.753651673963,0.656270124212524,0.322131471158934,0.0172191659510275,0.0449401967209089,"ENSG00000162627"
"ENSG00000031698",5875.68768237494,1.32034524705116,0.643282204152083,0.00378165725030129,0.0124448113348821,"ENSG00000031698"
"ENSG00000265808",2656.77285359766,-0.893346987262824,0.300182202888594,0.000671964234958191,0.00272664157464314,"ENSG00000265808"
"ENSG00000134247",4087.71820339078,-1.73177914159003,0.312154386838862,1.28221374258916e-09,1.35292704178502e-08,"ENSG00000134247"
"ENSG00000116752",552.957921066109,0.808417875756582,0.29273948847894,0.0016862928653526,0.00617929831066488,"ENSG00000116752"
"ENSG00000162664",993.995718740882,0.871340535616473,0.283751528594593,0.000527913544558251,0.00220496496434736,"ENSG00000162664"
"ENSG00000134253",388.713837567043,-1.36573746255779,0.187682209716577,1.68471892559201e-14,2.87577253623071e-13,"ENSG00000134253"
"ENSG00000173218",551.040147025194,-1.88196707924897,0.623419405638753,0.000119336528224966,0.000580045861526112,"ENSG00000173218"
"ENSG00000183508",38.2907823460418,-2.4820298346158,0.571314441999123,7.99059206566635e-07,5.76435810300241e-06,"ENSG00000183508"
"ENSG00000277095",16.2795171614786,3.88954889375254,2.88199018301323,0.00469805757764573,0.0149825762693453,"ENSG00000277095"
"ENSG00000136631",1423.80287715454,0.822071424645456,0.271454877011556,0.000704915927998453,0.00283886118092106,"ENSG00000136631"
